id,time,appCat.entertainment
AS14.01,2014-04-22 15:04:50.346,3.883
AS14.01,2014-04-22 15:05:19.658,2.405
AS14.01,2014-04-22 15:07:35.032,13.843
AS14.01,2014-04-22 15:15:11.644,14.043
AS14.01,2014-04-22 19:31:39.137,61.168
AS14.01,2014-04-22 20:54:04.301,6.037
AS14.01,2014-04-22 20:54:16.493,126.642
AS14.01,2014-04-22 21:21:14.562,31.11
AS14.01,2014-04-22 22:04:08.266,2.015
AS14.01,2014-04-22 22:04:10.282,162.754
AS14.01,2014-04-22 22:13:36.236,43.375
AS14.01,2014-04-23 15:07:58.813,24.195
AS14.01,2014-04-23 15:29:01.628,3.015
AS14.01,2014-04-23 15:29:11.709,111.541
AS14.01,2014-04-23 21:13:03.915,24.445
AS14.01,2014-04-23 21:17:06.374,6.037
AS14.01,2014-04-23 22:04:03.792,5.348
AS14.01,2014-04-23 22:06:03.025,34.259
AS14.01,2014-04-23 22:15:53.849,83.34
AS14.01,2014-04-23 22:18:16.447,55.247
AS14.01,2014-04-24 00:01:11.273,163.75
AS14.01,2014-04-24 00:11:50.832,1.002
AS14.01,2014-04-24 00:11:51.835,33.259
AS14.01,2014-04-24 00:14:26.122,100.422
AS14.01,2014-04-24 04:39:46.642,3.03
AS14.01,2014-04-24 04:39:49.690,107.705
AS14.01,2014-04-24 04:41:38.483,5.012
AS14.01,2014-04-24 04:41:43.496,19.083
AS14.01,2014-04-24 05:11:23.756,1150.194
AS14.01,2014-04-24 05:30:41.966,2.744
AS14.01,2014-04-24 07:09:01.335,19.766
AS14.01,2014-04-24 11:00:41.167,4.138
AS14.01,2014-04-24 11:00:54.375,58.311
AS14.01,2014-04-24 11:03:07.319,1326.016
AS14.01,2014-04-24 11:55:27.551,105.606
AS14.01,2014-04-24 11:57:32.413,28.146
AS14.01,2014-04-24 11:58:18.686,94.314
AS14.01,2014-04-24 14:26:19.532,29.25
AS14.01,2014-04-24 18:27:04.615,25.102
AS14.01,2014-04-24 21:10:27.713,18.081
AS14.01,2014-04-24 21:14:03.076,10.038
AS14.01,2014-04-24 21:17:31.487,11.191
AS14.01,2014-04-24 21:17:48.727,30.104
AS14.01,2014-04-24 21:18:24.263,73.263
AS14.01,2014-04-24 21:19:50.592,43.859
AS14.01,2014-04-24 21:32:41.392,3.024
AS14.01,2014-04-24 21:47:07.723,198.829
AS14.01,2014-04-24 22:05:30.168,219.377
AS14.01,2014-04-24 22:09:39.782,34.966
AS14.01,2014-04-24 22:18:40.003,1.005
AS14.01,2014-04-24 22:18:41.009,21.025
AS14.01,2014-04-24 22:22:38.262,2.78
AS14.01,2014-04-24 22:22:48.167,79.486
AS14.01,2014-04-24 22:24:39.236,94.338
AS14.01,2014-04-24 22:27:49.430,23.318
AS14.01,2014-04-24 22:30:27.546,87.576
AS14.01,2014-04-24 22:31:57.134,25.334
AS14.01,2014-04-24 22:32:55.395,15.285
AS14.01,2014-04-24 22:42:04.602,114.917
AS14.01,2014-04-24 22:52:33.227,6.018
AS14.01,2014-04-24 22:52:44.305,5.022
AS14.01,2014-04-24 22:53:23.467,54.23
AS14.01,2014-04-24 22:54:44.809,15.059
AS14.01,2014-04-25 00:02:35.463,74.28
AS14.01,2014-04-25 00:03:52.760,6.023
AS14.01,2014-04-25 12:54:00.986,13.045
AS14.01,2014-04-25 18:28:06.516,207.796
AS14.01,2014-04-25 18:31:48.901,69.756
AS14.01,2014-04-25 18:33:20.019,10.352
AS14.01,2014-04-25 18:33:53.381,30.641
AS14.01,2014-04-25 18:35:20.101,14.488
AS14.01,2014-04-25 18:35:42.865,69.145
AS14.01,2014-04-25 18:36:58.946,54.906
AS14.01,2014-04-25 18:39:26.891,6.024
AS14.01,2014-04-25 19:17:43.615,81.264
AS14.01,2014-04-25 19:21:16.648,13.112
AS14.01,2014-04-26 10:24:09.423,125.556
AS14.01,2014-04-27 11:02:09.861,20.394
AS14.01,2014-04-27 11:04:56.170,6.019
AS14.01,2014-04-27 11:07:50.188,112.615
AS14.01,2014-04-27 11:09:44.809,33.119
AS14.01,2014-04-27 11:10:44.930,34.173
AS14.01,2014-04-27 17:30:56.874,4.025
AS14.01,2014-04-27 17:31:32.339,28.5
AS14.01,2014-04-27 17:32:02.970,464.627
AS14.01,2014-04-27 17:39:49.661,764.334
AS14.01,2014-04-27 18:20:59.059,13.089
AS14.01,2014-04-27 21:01:34.598,29.326
AS14.01,2014-04-28 18:34:47.973,10.13
AS14.01,2014-04-28 18:38:23.990,5.904
AS14.01,2014-04-28 19:02:04.075,8.063
AS14.01,2014-04-28 19:03:01.974,151.843
AS14.01,2014-04-28 19:21:37.345,8.132
AS14.01,2014-04-28 19:22:10.164,86.419
AS14.01,2014-04-28 19:24:06.447,177.856
AS14.01,2014-04-28 20:17:40.105,55.155
AS14.01,2014-04-28 20:18:44.782,14.31
AS14.01,2014-04-28 20:20:51.213,130.535
AS14.01,2014-04-28 20:23:07.811,12.034
AS14.01,2014-04-28 20:30:41.020,18.417
AS14.01,2014-04-28 20:31:04.584,863.469
AS14.01,2014-04-28 20:45:39.750,6.171
AS14.01,2014-04-29 10:37:17.131,68.581
AS14.01,2014-04-29 10:40:31.269,151.712
AS14.01,2014-04-29 12:53:23.118,257.156
AS14.01,2014-04-29 12:57:52.092,112.5
AS14.01,2014-04-29 13:10:24.492,6.049
AS14.01,2014-04-29 13:10:34.579,162.033
AS14.01,2014-04-29 15:48:16.869,43.835
AS14.01,2014-04-29 16:32:03.595,3.009
AS14.01,2014-04-29 17:03:01.329,29.517
AS14.01,2014-04-29 19:33:28.598,50.752
AS14.01,2014-04-29 19:34:45.153,40.099
AS14.01,2014-04-29 19:36:14.752,21.407
AS14.01,2014-04-29 19:36:55.075,1.593
AS14.01,2014-04-29 19:37:03.644,9.436
AS14.01,2014-04-29 19:37:25.009,6.047
AS14.01,2014-04-29 19:40:23.279,106.729
AS14.01,2014-04-29 19:45:17.697,84.689
AS14.01,2014-04-29 19:46:46.269,42.471
AS14.01,2014-04-29 21:55:14.224,146.636
AS14.01,2014-04-29 22:59:43.408,33.266
AS14.01,2014-04-29 23:04:43.263,169.279
AS14.01,2014-04-29 23:21:41.644,3.063
AS14.01,2014-04-29 23:27:28.773,8.627
AS14.01,2014-04-29 23:27:40.233,4.047
AS14.01,2014-04-30 00:41:58.892,19.24
AS14.01,2014-04-30 09:44:48.331,11.159
AS14.01,2014-04-30 09:45:08.032,2.012
AS14.01,2014-04-30 14:02:27.420,74.527
AS14.01,2014-04-30 18:19:00.565,68.325
